The queen is coming
Tony bed with me
Eat my shorts
Do you want a mango
Mango or Womango what you choosin
Run
One sec boiling water
Hear me out: Thanos was a good guy
Am farming
I think its under there
Silence
I am real
YES
Obama wall at mid
I think the sawcon convention was last week
Tony stop stealing the blankets
Ran out of butter
What is the ellos/ellas farm of the verb sacar?
Pasta
Ratio
L + Ratio
Hello\nI\'ve missed your touch
Dart goblin
We can still win the super bowl
I\'M LAGGING!
I\'ll do the bed
Do you know the thekkumthala defense?
Subscribe to the Llama King Gaming
630 Welsh Road
I voided
Unlimited slurs!
Lets GO!
Where fruit
I had to beat an old lady with a stick
Compsci
I aggroed an enderman
Indeed.com
Are you extremely racist?
Nissan?
Oh my
Oh me days
I like the sound of that
Every crevice of yours will be filled with cement if     you keep ignoring my snaps
Kinda hot ngl
Why did I say that
What
Gimme white power
!remove kneecaps
He\'ll do
What is the imposter
Who is creaming
Henny. Meat.
p!c lugia
p!c salazzle
multiple sugar daddies have contacted me. none of them take me seriosuly doe
Gimm
dont even say nothin to me boy you look like you massage your doorknobs
you look like you take raw eggs from a supermarket and put em in yo pocket
Silence you grass muncher
I am with child
Urgent
Shrimp in my pasta
there is no oasis for you
you are parched
How we lookin
are you available to rewatch the entirety of the fast and furious hit movie series at this moment
I am potential spam
Cloudy with a chance of vegetarian balls
Please explain how a rattlesnake works
Send dudes
Cease
Let that sink in
You are in peril
Consider the following:
Need iron
The stairs are my worst enemy
HELP
Josh\'s parking only
Pushin :regional_indicator_p:
Fruit :moyai: :handshake:
<:studioushenny:861426532764745768>
<:pogjosh:816509018906427392>
<:tookie:846596801011253249> 
<:acme:925591518419484702> 
https://tenor.com/view/drill-awesome-get-fake-chungus-gif-19628639
https://cdn.discordapp.com/attachments/572795502706556935/931800599484321792/4ED67FE1-6940-400E-834C-9AFF5C5400CF.jpg
https://cdn.discordapp.com/attachments/935366855827271693/935606124609142884/unknown.png
https://www.youtube.com/watch?v=AXtkS_V0inA&t=132s&ab_channel=TheLlamaKingGaming 
oh me days 
https://www.youtube.com/watch?v=uQAqwDwFgUM&ab_channel=TheLlamaKingGaming 
